Chr,Start,End,Protein
2,519888,519907,Fkh1
2,520147,520169,Fkh1
2,523820,523842,Fkh1
2,529029,529051,Fkh1
2,531409,531431,Fkh1
2,532305,532327,Fkh1
2,533776,533798,Fkh1
2,533978,534000,Fkh1
2,535478,535500,Fkh1
2,536321,536343,Fkh1
2,536516,536538,Fkh1
2,536644,536666,Fkh1
2,536718,536740,Fkh1
2,541093,541112,Fkh1
2,545822,545841,Fkh1
2,546756,546775,Fkh1
2,547100,547122,Fkh1
2,547628,547650,Fkh1
2,548668,548687,Fkh1
2,548749,548771,Fkh1
2,553413,553435,Fkh1
2,553494,553516,Fkh1
2,554436,554455,Fkh1
2,555912,555931,Fkh1
2,557816,557838,Fkh1
2,560133,560152,Fkh1
2,560552,560574,Fkh1
2,561261,561283,Fkh1
2,561482,561501,Fkh1
2,561703,561722,Fkh1
2,564987,565006,Fkh1
2,565493,565515,Fkh1
2,568281,568303,Fkh1
2,568672,568694,Fkh1
2,568768,568790,Fkh1
2,570458,570480,Fkh1
2,570551,570570,Fkh1
2,572248,572267,Fkh1
2,586644,586663,Fkh1
2,587736,587758,Fkh1
2,587885,587904,Fkh1
2,588328,588350,Fkh1
2,591193,591215,Fkh1
2,591214,591236,Fkh1
2,596066,596085,Fkh1
2,597615,597634,Fkh1
2,597776,597798,Fkh1
2,598549,598571,Fkh1
2,599600,599622,Fkh1
2,600651,600673,Fkh1
2,605197,605219,Fkh1
2,607862,607884,Fkh1
2,615953,615975,Fkh1
2,617594,617613,Fkh1
2,619764,619786,Fkh1
2,621674,621696,Fkh1
2,624220,624239,Fkh1
2,624257,624276,Fkh1
2,625134,625156,Fkh1
2,625135,625154,Fkh1
2,627324,627346,Fkh1
2,631328,631350,Fkh1
2,632366,632385,Fkh1
2,636539,636561,Fkh1
2,640604,640626,Fkh1
2,648124,648146,Fkh1
2,648719,648741,Fkh1
2,649895,649914,Fkh1
2,652090,652112,Fkh1
2,655217,655236,Fkh1
2,656961,656980,Fkh1
2,666898,666920,Fkh1
2,667319,667341,Fkh1
2,667564,667586,Fkh1
2,676868,676887,Fkh1
2,679873,679895,Fkh1
2,680653,680675,Fkh1
2,681274,681296,Fkh1
2,681308,681330,Fkh1
2,686179,686201,Fkh1
2,688807,688829,Fkh1
2,689789,689808,Fkh1
2,692039,692058,Fkh1
2,694636,694658,Fkh1
2,696991,697013,Fkh1
2,700749,700768,Fkh1
2,704057,704079,Fkh1
2,704081,704103,Fkh1
2,706705,706727,Fkh1
2,706839,706858,Fkh1
2,708129,708148,Fkh1
2,708567,708589,Fkh1
2,711214,711236,Fkh1
2,713670,713689,Fkh1
2,718004,718023,Fkh1
2,718448,718467,Fkh1
2,718763,718782,Fkh1
2,718842,718864,Fkh1
2,720261,720283,Fkh1
2,724010,724029,Fkh1
2,724485,724507,Fkh1
2,730684,730703,Fkh1
2,732908,732927,Fkh1
2,733260,733282,Fkh1
2,734187,734209,Fkh1
2,734483,734505,Fkh1
2,735530,735549,Fkh1
2,743655,743674,Fkh1
2,745058,745077,Fkh1
2,750465,750487,Fkh1
2,752053,752075,Fkh1
2,754351,754370,Fkh1
2,754710,754729,Fkh1
2,755220,755239,Fkh1
2,761392,761414,Fkh1
2,766343,766365,Fkh1
2,768933,768952,Fkh1
2,769182,769204,Fkh1
2,771690,771709,Fkh1
2,773743,773762,Fkh1
2,774289,774308,Fkh1
2,775031,775053,Fkh1
2,775289,775311,Fkh1
2,777357,777379,Fkh1
2,779783,779805,Fkh1
2,779876,779898,Fkh1
2,782325,782344,Fkh1
2,782414,782433,Fkh1
2,782547,782569,Fkh1
2,785775,785797,Fkh1
2,788050,788069,Fkh1
2,789771,789793,Fkh1
2,792225,792247,Fkh1
2,795811,795833,Fkh1
2,796153,796175,Fkh1
2,796390,796409,Fkh1
2,796544,796566,Fkh1
2,798530,798549,Fkh1
2,802508,802530,Fkh1
2,803594,803616,Fkh1
2,803792,803814,Fkh1
2,805870,805889,Fkh1
2,810108,810130,Fkh1
2,811348,811370,Fkh1
3,2486,2505,Fkh1
3,2653,2675,Fkh1
3,3855,3877,Fkh1
3,5202,5224,Fkh1
3,6419,6441,Fkh1
3,8901,8920,Fkh1
3,10626,10648,Fkh1
3,11468,11487,Fkh1
3,11536,11558,Fkh1
3,12636,12655,Fkh1
3,13823,13842,Fkh1
3,13906,13925,Fkh1
3,13951,13970,Fkh1
3,14543,14565,Fkh1
3,14665,14687,Fkh1
3,17206,17225,Fkh1
3,18285,18307,Fkh1
3,18857,18876,Fkh1
3,24292,24314,Fkh1
3,29081,29100,Fkh1
3,29114,29133,Fkh1
3,29331,29353,Fkh1
3,29336,29358,Fkh1
3,34164,34186,Fkh1
3,35558,35577,Fkh1
3,40405,40424,Fkh1
3,43062,43081,Fkh1
3,50364,50386,Fkh1
3,50381,50403,Fkh1
3,52355,52374,Fkh1
3,56609,56631,Fkh1
3,56610,56629,Fkh1
3,57998,58020,Fkh1
3,58252,58274,Fkh1
3,59864,59886,Fkh1
3,60916,60935,Fkh1
3,61499,61521,Fkh1
3,62700,62722,Fkh1
3,68017,68039,Fkh1
3,69268,69290,Fkh1
3,71024,71046,Fkh1
3,71389,71408,Fkh1
3,71401,71420,Fkh1
3,71597,71619,Fkh1
3,76416,76435,Fkh1
3,83426,83448,Fkh1
3,86503,86522,Fkh1
3,86834,86853,Fkh1
3,93173,93195,Fkh1
3,96097,96116,Fkh1
3,96113,96132,Fkh1
3,99025,99047,Fkh1
3,100091,100110,Fkh1
3,102883,102905,Fkh1
3,107265,107287,Fkh1
3,107793,107812,Fkh1
3,108959,108978,Fkh1
3,109940,109959,Fkh1
3,110841,110860,Fkh1
3,112053,112075,Fkh1
3,112063,112082,Fkh1
3,112106,112128,Fkh1
3,112531,112550,Fkh1
3,113942,113964,Fkh1
3,115533,115555,Fkh1
3,116163,116182,Fkh1
3,118633,118652,Fkh1
3,120345,120364,Fkh1
3,121162,121184,Fkh1
3,122569,122591,Fkh1
3,122965,122984,Fkh1
3,128179,128201,Fkh1
3,128199,128221,Fkh1
3,128614,128633,Fkh1
3,132038,132057,Fkh1
3,132470,132492,Fkh1
3,133225,133247,Fkh1
3,134186,134205,Fkh1
3,148936,148958,Fkh1
3,149809,149831,Fkh1
3,150088,150110,Fkh1
3,152870,152892,Fkh1
3,153711,153733,Fkh1
3,155604,155626,Fkh1
3,158747,158769,Fkh1
3,159874,159896,Fkh1
3,161271,161293,Fkh1
3,162889,162908,Fkh1
3,170208,170227,Fkh1
3,171967,171989,Fkh1
3,173860,173882,Fkh1
3,173863,173882,Fkh1
3,175070,175092,Fkh1
3,179926,179945,Fkh1
3,182914,182936,Fkh1
3,184532,184554,Fkh1
3,191382,191404,Fkh1
3,191842,191861,Fkh1
3,191872,191894,Fkh1
3,193502,193521,Fkh1
3,194791,194813,Fkh1
3,197896,197915,Fkh1
3,198189,198208,Fkh1
3,198531,198550,Fkh1
3,198698,198720,Fkh1
3,199796,199815,Fkh1
3,200983,201002,Fkh1
3,201066,201085,Fkh1
3,201111,201130,Fkh1
3,202003,202022,Fkh1
3,202547,202569,Fkh1
3,202987,203009,Fkh1
3,205810,205832,Fkh1
3,205931,205950,Fkh1
3,206379,206398,Fkh1
3,206808,206827,Fkh1
3,207922,207944,Fkh1
3,210178,210197,Fkh1
3,212832,212854,Fkh1
3,213531,213550,Fkh1
3,217777,217796,Fkh1
3,218065,218084,Fkh1
3,222591,222610,Fkh1
3,231221,231243,Fkh1
3,232188,232210,Fkh1
3,233519,233541,Fkh1
3,234641,234663,Fkh1
3,235195,235214,Fkh1
3,235921,235940,Fkh1
3,236671,236690,Fkh1
3,238013,238035,Fkh1
3,239562,239584,Fkh1
3,243360,243382,Fkh1
3,247549,247571,Fkh1
3,247860,247882,Fkh1
3,248853,248872,Fkh1
3,248938,248960,Fkh1
3,253622,253644,Fkh1
3,253749,253771,Fkh1
3,255701,255720,Fkh1
3,256741,256763,Fkh1
3,257840,257862,Fkh1
3,257846,257868,Fkh1
3,257878,257900,Fkh1
3,260528,260550,Fkh1
3,262662,262681,Fkh1
3,262697,262719,Fkh1
3,263219,263238,Fkh1
3,263244,263263,Fkh1
3,265006,265025,Fkh1
3,265914,265936,Fkh1
3,268391,268410,Fkh1
3,268703,268725,Fkh1
3,269030,269052,Fkh1
3,271880,271902,Fkh1
3,271883,271905,Fkh1
3,273152,273171,Fkh1
3,275544,275566,Fkh1
3,276651,276670,Fkh1
3,276659,276678,Fkh1
3,277556,277575,Fkh1
3,278488,278510,Fkh1
3,280893,280912,Fkh1
3,283134,283156,Fkh1
3,283456,283478,Fkh1
3,286264,286283,Fkh1
3,288007,288026,Fkh1
3,291208,291230,Fkh1
3,291214,291233,Fkh1
3,291973,291992,Fkh1
3,292593,292612,Fkh1
3,293429,293448,Fkh1
3,294511,294530,Fkh1
3,294594,294613,Fkh1
3,294636,294655,Fkh1
3,295837,295856,Fkh1
3,296601,296623,Fkh1
3,296764,296786,Fkh1
3,297500,297519,Fkh1
3,298376,298398,Fkh1
3,298668,298690,Fkh1
3,299489,299508,Fkh1
3,299521,299540,Fkh1
3,304863,304885,Fkh1
3,308513,308532,Fkh1
3,308900,308922,Fkh1
3,310912,310931,Fkh1
3,312789,312808,Fkh1
3,313756,313778,Fkh1
4,1911,1933,Fkh1
4,7310,7332,Fkh1
4,8311,8330,Fkh1
4,12408,12430,Fkh1
4,13628,13647,Fkh1
4,13689,13711,Fkh1
4,15287,15306,Fkh1
4,17262,17281,Fkh1
4,19197,19216,Fkh1
4,22171,22193,Fkh1
4,22435,22457,Fkh1
4,22558,22577,Fkh1
4,23496,23515,Fkh1
4,24474,24496,Fkh1
4,25859,25878,Fkh1
4,26135,26154,Fkh1
4,32236,32258,Fkh1
4,33286,33308,Fkh1
4,35031,35053,Fkh1
4,38648,38670,Fkh1
4,38653,38675,Fkh1
4,40732,40754,Fkh1
4,42476,42495,Fkh1
4,44428,44450,Fkh1
4,57325,57344,Fkh1
4,57718,57740,Fkh1
4,57879,57901,Fkh1
4,59660,59682,Fkh1
4,59671,59693,Fkh1
4,62762,62784,Fkh1
4,64957,64979,Fkh1
4,65122,65144,Fkh1
4,67225,67247,Fkh1
4,70147,70169,Fkh1
4,70715,70734,Fkh1
4,71157,71176,Fkh1
4,73961,73983,Fkh1
4,74510,74529,Fkh1
4,76495,76517,Fkh1
4,79532,79554,Fkh1
4,79642,79664,Fkh1
4,80523,80542,Fkh1
4,81542,81564,Fkh1
4,84180,84202,Fkh1
4,87060,87082,Fkh1
4,88325,88347,Fkh1
4,89631,89653,Fkh1
4,92539,92558,Fkh1
4,94043,94065,Fkh1
4,96430,96452,Fkh1
4,99151,99173,Fkh1
4,104337,104356,Fkh1
4,109714,109733,Fkh1
4,110240,110262,Fkh1
4,110330,110352,Fkh1
4,110867,110886,Fkh1
4,111223,111245,Fkh1
4,117300,117322,Fkh1
4,122957,122976,Fkh1
4,126185,126207,Fkh1
4,130871,130893,Fkh1
4,130970,130992,Fkh1
4,133388,133410,Fkh1
4,141566,141588,Fkh1
4,142538,142560,Fkh1
4,146849,146871,Fkh1
4,148008,148030,Fkh1
4,148630,148652,Fkh1
4,148788,148810,Fkh1
4,153362,153381,Fkh1
4,153436,153458,Fkh1
4,154918,154937,Fkh1
4,162090,162112,Fkh1
4,162827,162846,Fkh1
4,164118,164140,Fkh1
4,165215,165234,Fkh1
4,168077,168099,Fkh1
4,168974,168996,Fkh1
4,170139,170161,Fkh1
4,171617,171639,Fkh1
4,172695,172717,Fkh1
4,176551,176573,Fkh1
4,178072,178094,Fkh1
4,179289,179308,Fkh1
4,180980,181002,Fkh1
4,181504,181523,Fkh1
4,185921,185943,Fkh1
4,188717,188736,Fkh1
4,189225,189244,Fkh1
4,192648,192667,Fkh1
4,193063,193082,Fkh1
4,193405,193424,Fkh1
4,196878,196897,Fkh1
4,198252,198271,Fkh1
4,202041,202060,Fkh1
4,202143,202165,Fkh1
4,202260,202279,Fkh1
4,202932,202951,Fkh1
4,208151,208173,Fkh1
4,208828,208847,Fkh1
4,210899,210918,Fkh1
4,212089,212108,Fkh1
4,213445,213467,Fkh1
4,215096,215118,Fkh1
4,215146,215168,Fkh1
4,216014,216036,Fkh1
4,220774,220793,Fkh1
4,224270,224292,Fkh1
4,225192,225214,Fkh1
4,225903,225925,Fkh1
4,226628,226650,Fkh1
4,232056,232075,Fkh1
4,233271,233290,Fkh1
4,235485,235504,Fkh1
4,236309,236331,Fkh1
4,239560,239582,Fkh1
4,241785,241807,Fkh1
4,242637,242659,Fkh1
4,243432,243451,Fkh1
4,243553,243572,Fkh1
4,246277,246296,Fkh1
4,250348,250367,Fkh1
4,253066,253085,Fkh1
4,253845,253867,Fkh1
4,255025,255047,Fkh1
4,256569,256588,Fkh1
4,260514,260533,Fkh1
4,262147,262169,Fkh1
4,266889,266911,Fkh1
4,267547,267569,Fkh1
4,268882,268901,Fkh1
4,272449,272471,Fkh1
4,273788,273810,Fkh1
4,275835,275854,Fkh1
4,277535,277554,Fkh1
4,281992,282011,Fkh1
4,283713,283735,Fkh1
4,288120,288142,Fkh1
4,288123,288145,Fkh1
4,289978,290000,Fkh1
4,292397,292416,Fkh1
4,294900,294922,Fkh1
4,296770,296792,Fkh1
4,299868,299890,Fkh1
4,302647,302666,Fkh1
4,304877,304896,Fkh1
4,305018,305037,Fkh1
4,306631,306653,Fkh1
4,308411,308430,Fkh1
4,309084,309106,Fkh1
4,311132,311151,Fkh1
4,311273,311295,Fkh1
4,323601,323623,Fkh1
4,324266,324288,Fkh1
4,328308,328327,Fkh1
4,330687,330706,Fkh1
4,330900,330922,Fkh1
4,332819,332841,Fkh1
4,333026,333045,Fkh1
4,333066,333085,Fkh1
4,334157,334176,Fkh1
4,336631,336653,Fkh1
4,337141,337160,Fkh1
4,338631,338653,Fkh1
4,340408,340430,Fkh1
4,341773,341795,Fkh1
4,342081,342103,Fkh1
4,343917,343939,Fkh1
4,348242,348261,Fkh1
4,353656,353678,Fkh1
4,362076,362098,Fkh1
4,362907,362929,Fkh1
4,363422,363444,Fkh1
4,363691,363713,Fkh1
4,363957,363979,Fkh1
4,364102,364124,Fkh1
4,373618,373637,Fkh1
4,374348,374367,Fkh1
4,376895,376917,Fkh1
4,379732,379751,Fkh1
4,380641,380660,Fkh1
4,386994,387013,Fkh1
4,388201,388223,Fkh1
4,388861,388880,Fkh1
4,390024,390043,Fkh1
4,392754,392776,Fkh1
4,392774,392796,Fkh1
4,395466,395485,Fkh1
4,396527,396546,Fkh1
4,396969,396988,Fkh1
4,398917,398939,Fkh1
4,402530,402549,Fkh1
4,403519,403538,Fkh1
4,403771,403793,Fkh1
4,405153,405175,Fkh1
4,409057,409079,Fkh1
4,409334,409356,Fkh1
4,411119,411141,Fkh1
4,411419,411441,Fkh1
4,413346,413365,Fkh1
4,413721,413743,Fkh1
4,413940,413959,Fkh1
4,414224,414243,Fkh1
4,416101,416120,Fkh1
4,417534,417553,Fkh1
4,420421,420443,Fkh1
4,421738,421760,Fkh1
4,422362,422381,Fkh1
4,423283,423305,Fkh1
4,423681,423700,Fkh1
4,424687,424709,Fkh1
4,425317,425336,Fkh1
4,426047,426069,Fkh1
4,428156,428178,Fkh1
4,433063,433082,Fkh1
4,433270,433289,Fkh1
4,441272,441294,Fkh1
4,444606,444628,Fkh1
4,445594,445616,Fkh1
4,445600,445622,Fkh1
4,448150,448169,Fkh1
4,448611,448633,Fkh1
4,449790,449809,Fkh1
4,452502,452521,Fkh1
4,453625,453647,Fkh1
4,459313,459335,Fkh1
4,460572,460594,Fkh1
4,460641,460663,Fkh1
4,464108,464130,Fkh1
4,465659,465681,Fkh1
4,465822,465844,Fkh1
4,466374,466393,Fkh1
4,468130,468152,Fkh1
4,473861,473880,Fkh1
4,474125,474147,Fkh1
4,477031,477050,Fkh1
4,479187,479206,Fkh1
4,481023,481045,Fkh1
4,481024,481043,Fkh1
4,481438,481457,Fkh1
4,483110,483132,Fkh1
4,493261,493280,Fkh1
4,493526,493545,Fkh1
4,494597,494616,Fkh1
4,496957,496979,Fkh1
4,497438,497457,Fkh1
4,498190,498209,Fkh1
4,498491,498513,Fkh1
4,499695,499717,Fkh1
4,500864,500883,Fkh1
4,501417,501436,Fkh1
4,503133,503152,Fkh1
4,503873,503892,Fkh1
4,505516,505538,Fkh1
4,505680,505702,Fkh1
4,506144,506163,Fkh1
4,506151,506173,Fkh1
4,506572,506594,Fkh1
4,506799,506821,Fkh1
4,507611,507630,Fkh1
4,508259,508281,Fkh1
4,512292,512314,Fkh1
4,517605,517624,Fkh1
4,517936,517955,Fkh1
4,521337,521359,Fkh1
4,523559,523578,Fkh1
4,529131,529153,Fkh1
4,533016,533038,Fkh1
4,536901,536923,Fkh1
4,540468,540487,Fkh1
4,541454,541476,Fkh1
4,542310,542332,Fkh1
4,543006,543028,Fkh1
4,545931,545953,Fkh1
4,545932,545951,Fkh1
4,546853,546872,Fkh1
